"TaxID";"Taxon.name";"Rank";"Model.organism";"Picture";"Image.name"
2759;"Eukaryota";"Domain";"Dictyostelium discoideum: Tetrahymena thermophyla";"Eukaryota_cells.svg";"Eukaryota cell"
147537;"Saccharomycotina";"Subphylum";"Saccharomyces cerevisiae: Candida albicans";"Yeast_cells.svg";"Budding yeast cell"
147554;"Schizosaccharomycetes";"Class";"Schizosaccharomyces pombe";"Pombe_cells.svg";"Fission yeast cell"
3042;"Chlamydomona";"Order";"Chlamydomonas reinhardtii";"Chlamydomona_cells.svg";"Unicellular green algae cell"
33090;"Viridiplantae";"Clade";"Mustard plant: Arabidopsis thaliana";"Plant_cells.svg";"Plant cell"
4751;"Fungi";"Kingdom";"Neurospora crassa";"Fungal_cells.svg";"Fungal cell"
5794;"Apicomplexa";"Phylum";"Plasmodium falciparum";"Apicomplexa_cells.svg";"Apicomplexa cell"
5653;"Kinetoplastea";"Class";"Trypanosoma Brucei: Trypanosoma Cruzi";"Trypanosoma.svg";"Trypanosoma cell"
6072;"Eumetazoa";"Clade";"Human: Rat: Mouse: Zebrafish: Xenopus laevis: Drosophila: Caenorhabditis elegans";"Animal_cells.svg";"Animal cell"
6072;"Eumetazoa";"Clade";"Hydra vulgaris";"Cnidocyte_cell.svg";"Cnidocyte cell"
6072;"Eumetazoa";"Clade";"Human: Rat: Mouse: Zebrafish: Xenopus laevis: Drosophila: Caenorhabditis elegans";"Epithelial_cells.svg";"Animal epithelial cell"
6072;"Eumetazoa";"Clade";"Human: Rat: Mouse: Zebrafish: Xenopus laevis: Drosophila: Caenorhabditis elegans";"Muscle_cells.svg";"Animal muscle cell"
6072;"Eumetazoa";"Clade";"Human: Rat: Mouse: Zebrafish: Xenopus laevis: Drosophila: Caenorhabditis elegans";"Neuron_cells.svg";"Animal neuronal cell"
6072;"Eumetazoa";"Clade";"Human: Rat: Mouse: Zebrafish: Xenopus laevis: Drosophila: Caenorhabditis elegans";"Photoreceptor_cell.svg";"Animal photoreceptor cell"
6072;"Eumetazoa";"Clade";"Human: Rat: Mouse: Zebrafish: Xenopus laevis: Drosophila: Caenorhabditis elegans";"Spermatozoa_cell.svg";"Animal spermatozoa cell"
6072;"Eumetazoa";"Clade";"Human: Rat: Mouse: Zebrafish: Xenopus laevis: Drosophila: Caenorhabditis elegans";"Egg_cell.svg";"Animal egg cell"
2157;"Archaea";"Domain";"Thermococcus kodakarensis: Methanocaldococcus jannaschii";"Archaea_cells.svg";"Archaeal cell"
2;"Bacteria";"Domain";"";"Bacteria1M_coccus.svg";"Coccus bacteria: one membrane (Gram+)"
57723;"Acidobacteria";"Phylum";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
976;"Bacteroidetes";"Phylum";"";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
1117;"Cyanobacteria";"Phylum";"";"Bacteria2M_coccus.svg";"Coccus bacteria: two membranes (Gram-)"
203691;"Spirochaetes";"Phylum";"";"Bacteria2M_spiral.svg";"Spiral bacteria: two membranes (Gram-)"
1224;"Proteobacteria";"Phylum";"Escherichia coli";"Bacteria2M_rod.svg";"Rod-shaped bacteria: two membranes (Gram-)"
31969;"Mollicutes";"Class";"Mycoplasma pneumoniae";"Mollicutes_cells.svg";"Mollicutes cell"
1716;"Corynebacterium";"Genus";"Corynebacterium diphtheriae";"Bacteria1M_clubrod.svg";"Club rod-shaped bacteria: one membrane (Gram+)"
1279;"Staphylococcus";"Genus";"Staphylococcus aureus";"Bacteria1M_coccus.svg";"Coccus bacteria: one membrane (Gram+)"
1301;"Streptococcus";"Genus";"";"Bacteria1M_coccus.svg";"Coccus bacteria: one membrane (Gram+)"
1357;"Lactococcus";"Genus";"";"Bacteria1M_coccus.svg";"Coccus bacteria: one membrane (Gram+)"
1350;"Enterococcus";"Genus";"";"Bacteria1M_coccus.svg";"Coccus bacteria: one membrane (Gram+)"
1269;"Micrococcus";"Genus";"";"Bacteria1M_coccus.svg";"Coccus bacteria: one membrane (Gram+)"
1883;"Streptomyces";"Genus";"Streptomyces coelicolor";"Bacteria1M_filamentous.svg";"Filamentous bacteria: one membrane (Gram+)"
